tool	rank	metric	sample	value
Kraken2	species	L1 norm error	8	0.0034358905299999914
Kraken2	strain	L1 norm error	8	0.000821801238000001
Kraken2	na	Weighted UniFrac error	8	8.45847700580958e-05
Kraken2	na	Unweighted UniFrac error	8	1.0847834873834599
Kraken2	na	Weighted UniFrac (CAMI)	8	0.8454924070000448
Kraken2	na	Unweighted UniFrac (CAMI)	8	3354.0000000091004
Kraken2	superkingdom	Sum of abundances	8	0.009650006718
Kraken2	phylum	Sum of abundances	8	0.009650006718
Kraken2	class	Sum of abundances	8	0.009650006718
Kraken2	order	Sum of abundances	8	0.009648663173
Kraken2	family	Sum of abundances	8	0.008865824711000002
Kraken2	genus	Sum of abundances	8	0.008666532310000011
Kraken2	species	Sum of abundances	8	0.006869989661000048
Kraken2	strain	Sum of abundances	8	0.000404630731000001
Kraken2	superkingdom	Taxon counts	8	1.0
Kraken2	phylum	Taxon counts	8	1.0
Kraken2	class	Taxon counts	8	1.0
Kraken2	order	Taxon counts	8	4.0
Kraken2	family	Taxon counts	8	21.0
Kraken2	genus	Taxon counts	8	162.0
Kraken2	species	Taxon counts	8	652.0
Kraken2	strain	Taxon counts	8	204.0
Kraken2	superkingdom	Bray-Curtis distance	9	0.10472609434169806
Kraken2	phylum	Bray-Curtis distance	9	0.10472609434169806
Kraken2	class	Bray-Curtis distance	9	0.10472609434169806
Kraken2	order	Bray-Curtis distance	9	0.10483541766748661
Kraken2	family	Bray-Curtis distance	9	0.14691538480849173
Kraken2	genus	Bray-Curtis distance	9	0.1656333039871564
Kraken2	species	Bray-Curtis distance	9	0.31823346019985943
Kraken2	strain	Bray-Curtis distance	9	0.6281926948371843
Kraken2	superkingdom	Shannon diversity	9	0.03902411539988374
Kraken2	superkingdom	Shannon equitability	9	0.0
Kraken2	phylum	Shannon diversity	9	0.03902411539988374
Kraken2	phylum	Shannon equitability	9	0.0
Kraken2	class	Shannon diversity	9	0.03902411539988374
Kraken2	class	Shannon equitability	9	0.0
Kraken2	order	Shannon diversity	9	0.03984587173720456
Kraken2	order	Shannon equitability	9	0.028742720777581363
Kraken2	family	Shannon diversity	9	0.04779426579402592
Kraken2	family	Shannon equitability	9	0.015242976865088208
Kraken2	genus	Shannon diversity	9	0.05358825176631487
Kraken2	genus	Shannon equitability	9	0.010410550610146275
Kraken2	species	Shannon diversity	9	0.048175371688679455
Kraken2	species	Shannon equitability	9	0.007427409411557641
Kraken2	strain	Shannon diversity	9	0.003952033295002499
Kraken2	strain	Shannon equitability	9	0.0007509530588242509
Kraken2	superkingdom	F1 score	9	1.0
Kraken2	superkingdom	False negatives	9	0.0
Kraken2	superkingdom	False positives	9	0.0
Kraken2	superkingdom	Jaccard index	9	1.0
Kraken2	superkingdom	Purity	9	1.0
Kraken2	superkingdom	Completeness	9	1.0
Kraken2	superkingdom	True positives	9	1.0
Kraken2	phylum	F1 score	9	1.0
Kraken2	phylum	False negatives	9	0.0
Kraken2	phylum	False positives	9	0.0
Kraken2	phylum	Jaccard index	9	1.0
Kraken2	phylum	Purity	9	1.0
Kraken2	phylum	Completeness	9	1.0
Kraken2	phylum	True positives	9	1.0
Kraken2	class	F1 score	9	1.0
Kraken2	class	False negatives	9	0.0
Kraken2	class	False positives	9	0.0
Kraken2	class	Jaccard index	9	1.0
Kraken2	class	Purity	9	1.0
Kraken2	class	Completeness	9	1.0
Kraken2	class	True positives	9	1.0
Kraken2	order	F1 score	9	1.0
Kraken2	order	False negatives	9	0.0
Kraken2	order	False positives	9	0.0
Kraken2	order	Jaccard index	9	1.0
Kraken2	order	Purity	9	1.0
Kraken2	order	Completeness	9	1.0
Kraken2	order	True positives	9	4.0
Kraken2	family	F1 score	9	0.9047619047619047
Kraken2	family	False negatives	9	0.0
Kraken2	family	False positives	9	4.0
Kraken2	family	Jaccard index	9	0.8260869565217391
Kraken2	family	Purity	9	0.8260869565217391
Kraken2	family	Completeness	9	1.0
Kraken2	family	True positives	9	19.0
Kraken2	genus	F1 score	9	0.7859649122807018
Kraken2	genus	False negatives	9	1.0
Kraken2	genus	False positives	9	60.0
Kraken2	genus	Jaccard index	9	0.6473988439306358
Kraken2	genus	Purity	9	0.6511627906976745
Kraken2	genus	Completeness	9	0.9911504424778761
Kraken2	genus	True positives	9	112.0
Kraken2	species	F1 score	9	0.6243705941591138
Kraken2	species	False negatives	9	27.0
Kraken2	species	False positives	9	346.0
Kraken2	species	Jaccard index	9	0.4538799414348463
Kraken2	species	Purity	9	0.4725609756097561
Kraken2	species	Completeness	9	0.9198813056379822
Kraken2	species	True positives	9	310.0
Kraken2	strain	F1 score	9	0.4657534246575343
Kraken2	strain	False negatives	9	31.0
Kraken2	strain	False positives	9	125.0
Kraken2	strain	Jaccard index	9	0.30357142857142855
Kraken2	strain	Purity	9	0.35233160621761656
Kraken2	strain	Completeness	9	0.6868686868686869
Kraken2	strain	True positives	9	68.0
Kraken2	superkingdom	L1 norm error	9	0.0018959648890000003
Kraken2	phylum	L1 norm error	9	0.0018959648890000003
Kraken2	class	L1 norm error	9	0.0018959648890000003
Kraken2	order	L1 norm error	9	0.0018977562810000008
Kraken2	family	L1 norm error	9	0.002543105377
Kraken2	genus	L1 norm error	9	0.0028474181590000002
Kraken2	species	L1 norm error	9	0.004892292517999995
Kraken2	strain	L1 norm error	9	0.0008701688290000015
Kraken2	na	Weighted UniFrac error	9	0.00030548801569671414
Kraken2	na	Unweighted UniFrac error	9	1.0574201719243932
Kraken2	na	Weighted UniFrac (CAMI)	9	2.0657440972000387
Kraken2	na	Unweighted UniFrac (CAMI)	9	3267.0000000095006
Kraken2	superkingdom	Sum of abundances	9	0.008104035111
Kraken2	phylum	Sum of abundances	9	0.008104035111
Kraken2	class	Sum of abundances	9	0.008104035111
Kraken2	order	Sum of abundances	9	0.008102243719
Kraken2	family	Sum of abundances	9	0.007385238928000001
Kraken2	genus	Sum of abundances	9	0.007191096775000012
Kraken2	species	Sum of abundances	9	0.005373281349000023
Kraken2	strain	Sum of abundances	9	0.0003204352940000005
Kraken2	superkingdom	Taxon counts	9	1.0
Kraken2	phylum	Taxon counts	9	1.0
Kraken2	class	Taxon counts	9	1.0
Kraken2	order	Taxon counts	9	4.0
Kraken2	family	Taxon counts	9	23.0
Kraken2	genus	Taxon counts	9	172.0
Kraken2	species	Taxon counts	9	656.0
Kraken2	strain	Taxon counts	9	193.0
Centrifuge	superkingdom	Bray-Curtis distance	0	0.08038142676989285
Centrifuge	phylum	Bray-Curtis distance	0	0.08038142676989285
Centrifuge	class	Bray-Curtis distance	0	0.08038142676989285
Centrifuge	order	Bray-Curtis distance	0	0.08184343240842204
Centrifuge	family	Bray-Curtis distance	0	0.17872520086084262
Centrifuge	genus	Bray-Curtis distance	0	0.1993506274006645
Centrifuge	species	Bray-Curtis distance	0	0.3381007967629154
Centrifuge	strain	Bray-Curtis distance	0	0.5837751331141791
Centrifuge	superkingdom	Shannon diversity	0	0.04057048817339341
Centrifuge	superkingdom	Shannon equitability	0	0.0
Centrifuge	phylum	Shannon diversity	0	0.04057048817339341
Centrifuge	phylum	Shannon equitability	0	0.0
Centrifuge	class	Shannon diversity	0	0.04057048817339341
Centrifuge	class	Shannon equitability	0	0.0
Centrifuge	order	Shannon diversity	0	0.041441608066288195
Centrifuge	order	Shannon equitability	0	0.029893801221849023
Centrifuge	family	Shannon diversity	0	0.05341452722240666
Centrifuge	family	Shannon equitability	0	0.016206665983187197
Centrifuge	genus	Shannon diversity	0	0.06512489743927408
Centrifuge	genus	Shannon equitability	0	0.012034212292385629
Centrifuge	species	Shannon diversity	0	0.08135263475751921
Centrifuge	species	Shannon equitability	0	0.011332746298191058
Centrifuge	strain	Shannon diversity	0	0.008698456423278147
Centrifuge	strain	Shannon equitability	0	0.00140798561183082
Centrifuge	superkingdom	F1 score	0	1.0
Centrifuge	superkingdom	False negatives	0	0.0
Centrifuge	superkingdom	False positives	0	0.0
Centrifuge	superkingdom	Jaccard index	0	1.0
Centrifuge	superkingdom	Purity	0	1.0
Centrifuge	superkingdom	Completeness	0	1.0
Centrifuge	superkingdom	True positives	0	1.0
Centrifuge	phylum	F1 score	0	1.0
Centrifuge	phylum	False negatives	0	0.0
Centrifuge	phylum	False positives	0	0.0
Centrifuge	phylum	Jaccard index	0	1.0
Centrifuge	phylum	Purity	0	1.0
Centrifuge	phylum	Completeness	0	1.0
Centrifuge	phylum	True positives	0	1.0
Centrifuge	class	F1 score	0	1.0
Centrifuge	class	False negatives	0	0.0
Centrifuge	class	False positives	0	0.0
Centrifuge	class	Jaccard index	0	1.0
Centrifuge	class	Purity	0	1.0
Centrifuge	class	Completeness	0	1.0
Centrifuge	class	True positives	0	1.0
Centrifuge	order	F1 score	0	1.0
Centrifuge	order	False negatives	0	0.0
Centrifuge	order	False positives	0	0.0
Centrifuge	order	Jaccard index	0	1.0
Centrifuge	order	Purity	0	1.0
Centrifuge	order	Completeness	0	1.0
Centrifuge	order	True positives	0	4.0
Centrifuge	family	F1 score	0	0.8260869565217391
Centrifuge	family	False negatives	0	0.0
Centrifuge	family	False positives	0	8.0
Centrifuge	family	Jaccard index	0	0.7037037037037037
Centrifuge	family	Purity	0	0.7037037037037037
Centrifuge	family	Completeness	0	1.0
Centrifuge	family	True positives	0	19.0
Centrifuge	genus	F1 score	0	0.6706231454005935
Centrifuge	genus	False negatives	0	0.0
Centrifuge	genus	False positives	0	111.0
Centrifuge	genus	Jaccard index	0	0.5044642857142857
Centrifuge	genus	Purity	0	0.5044642857142857
Centrifuge	genus	Completeness	0	1.0
Centrifuge	genus	True positives	0	113.0
Centrifuge	species	F1 score	0	0.40655339805825247
Centrifuge	species	False negatives	0	2.0
Centrifuge	species	False positives	0	976.0
Centrifuge	species	Jaccard index	0	0.25514089870525514
Centrifuge	species	Purity	0	0.2555301296720061
Centrifuge	species	Completeness	0	0.9940652818991098
Centrifuge	species	True positives	0	335.0
Centrifuge	strain	F1 score	0	0.306368330464716
Centrifuge	strain	False negatives	0	10.0
Centrifuge	strain	False positives	0	393.0
Centrifuge	strain	Jaccard index	0	0.18089430894308944
Centrifuge	strain	Purity	0	0.18464730290456433
Centrifuge	strain	Completeness	0	0.898989898989899
Centrifuge	strain	True positives	0	89.0
Centrifuge	superkingdom	L1 norm error	0	0.001488019412
Centrifuge	phylum	L1 norm error	0	0.001488019412
Centrifuge	class	L1 norm error	0	0.001488019412
Centrifuge	order	L1 norm error	0	0.0015150840319999989
Centrifuge	family	L1 norm error	0	0.0032833088439999996
Centrifuge	genus	L1 norm error	0	0.0036721752040000015
Centrifuge	species	L1 norm error	0	0.006071457596000001
Centrifuge	strain	L1 norm error	0	0.0009807104470000029
Centrifuge	na	Weighted UniFrac error	0	0.00027413827476604655
Centrifuge	na	Unweighted UniFrac error	0	3.324304036273185
Centrifuge	na	Weighted UniFrac (CAMI)	0	2.1496090232000045
Centrifuge	na	Unweighted UniFrac (CAMI)	0	10048.000000007698
Centrifuge	superkingdom	Sum of abundances	0	0.008511980588
Centrifuge	phylum	Sum of abundances	0	0.008511980588
Centrifuge	class	Sum of abundances	0	0.008511980588
Centrifuge	order	Sum of abundances	0	0.008511980588
Centrifuge	family	Sum of abundances	0	0.008433323223
Centrifuge	genus	Sum of abundances	0	0.008420685461999998
Centrifuge	species	Sum of abundances	0	0.007957537080999992
Centrifuge	strain	Sum of abundances	0	0.0007074107520000017
Centrifuge	superkingdom	Taxon counts	0	1.0
Centrifuge	phylum	Taxon counts	0	1.0
Centrifuge	class	Taxon counts	0	1.0
Centrifuge	order	Taxon counts	0	4.0
Centrifuge	family	Taxon counts	0	27.0
Centrifuge	genus	Taxon counts	0	224.0
Centrifuge	species	Taxon counts	0	1311.0
Centrifuge	strain	Taxon counts	0	482.0
Centrifuge	superkingdom	Bray-Curtis distance	1	0.19925442016906855
Centrifuge	phylum	Bray-Curtis distance	1	0.19925442016906855
Centrifuge	class	Bray-Curtis distance	1	0.19925442016906855
Centrifuge	order	Bray-Curtis distance	1	0.1992723427865271
Centrifuge	family	Bray-Curtis distance	1	0.2013959194115726
Centrifuge	genus	Bray-Curtis distance	1	0.2475592865930324
Centrifuge	species	Bray-Curtis distance	1	0.4437704896879556
Centrifuge	strain	Bray-Curtis distance	1	0.6681682014949438
Centrifuge	superkingdom	Shannon diversity	1	0.03344578429896286
Centrifuge	superkingdom	Shannon equitability	1	0.0
Centrifuge	phylum	Shannon diversity	1	0.03344578429896286
Centrifuge	phylum	Shannon equitability	1	0.0
Centrifuge	class	Shannon diversity	1	0.03344578429896286
Centrifuge	class	Shannon equitability	1	0.0
Centrifuge	order	Shannon diversity	1	0.03429829601857133
Centrifuge	order	Shannon equitability	1	0.021310729512205213
Centrifuge	family	Shannon diversity	1	0.043623651492790044
Centrifuge	family	Shannon equitability	1	0.013091528854120769
Centrifuge	genus	Shannon diversity	1	0.053788214166093036
Centrifuge	genus	Shannon equitability	1	0.009914969537556191
Centrifuge	species	Shannon diversity	1	0.06618669233193049
Centrifuge	species	Shannon equitability	1	0.00923786119107078
Centrifuge	strain	Shannon diversity	1	0.006554747395570021
Centrifuge	strain	Shannon equitability	1	0.0010922003442289684
Centrifuge	superkingdom	F1 score	1	1.0
Centrifuge	superkingdom	False negatives	1	0.0
Centrifuge	superkingdom	False positives	1	0.0
Centrifuge	superkingdom	Jaccard index	1	1.0
Centrifuge	superkingdom	Purity	1	1.0
Centrifuge	superkingdom	Completeness	1	1.0
Centrifuge	superkingdom	True positives	1	1.0
Centrifuge	phylum	F1 score	1	1.0
Centrifuge	phylum	False negatives	1	0.0
Centrifuge	phylum	False positives	1	0.0
Centrifuge	phylum	Jaccard index	1	1.0
Centrifuge	phylum	Purity	1	1.0
Centrifuge	phylum	Completeness	1	1.0
Centrifuge	phylum	True positives	1	1.0
Centrifuge	class	F1 score	1	1.0
Centrifuge	class	False negatives	1	0.0
Centrifuge	class	False positives	1	0.0
Centrifuge	class	Jaccard index	1	1.0
Centrifuge	class	Purity	1	1.0
Centrifuge	class	Completeness	1	1.0
Centrifuge	class	True positives	1	1.0
Centrifuge	order	F1 score	1	0.888888888888889
Centrifuge	order	False negatives	1	0.0
Centrifuge	order	False positives	1	1.0
Centrifuge	order	Jaccard index	1	0.8
Centrifuge	order	Purity	1	0.8
Centrifuge	order	Completeness	1	1.0
Centrifuge	order	True positives	1	4.0
Centrifuge	family	F1 score	1	0.8085106382978724
Centrifuge	family	False negatives	1	0.0
Centrifuge	family	False positives	1	9.0
Centrifuge	family	Jaccard index	1	0.6785714285714286
Centrifuge	family	Purity	1	0.6785714285714286
Centrifuge	family	Completeness	1	1.0
Centrifuge	family	True positives	1	19.0
Centrifuge	genus	F1 score	1	0.6647058823529411
Centrifuge	genus	False negatives	1	0.0
Centrifuge	genus	False positives	1	114.0
Centrifuge	genus	Jaccard index	1	0.4977973568281938
Centrifuge	genus	Purity	1	0.4977973568281938
Centrifuge	genus	Completeness	1	1.0
Centrifuge	genus	True positives	1	113.0
Centrifuge	species	F1 score	1	0.4122699386503067
Centrifuge	species	False negatives	1	1.0
Centrifuge	species	False positives	1	957.0
Centrifuge	species	Jaccard index	1	0.2596599690880989
Centrifuge	species	Purity	1	0.25986078886310904
Centrifuge	species	Completeness	1	0.9970326409495549
Centrifuge	species	True positives	1	336.0
Centrifuge	strain	F1 score	1	0.2862823061630219
Centrifuge	strain	False negatives	1	27.0
Centrifuge	strain	False positives	1	332.0
Centrifuge	strain	Jaccard index	1	0.16705336426914152
Centrifuge	strain	Purity	1	0.1782178217821782
Centrifuge	strain	Completeness	1	0.7272727272727273
Centrifuge	strain	True positives	1	72.0
Centrifuge	superkingdom	L1 norm error	1	0.00332297162
Centrifuge	phylum	L1 norm error	1	0.00332297162
Centrifuge	class	L1 norm error	1	0.00332297162
Centrifuge	order	L1 norm error	1	0.003323270516000001
Centrifuge	family	L1 norm error	1	0.0033294467950000005
Centrifuge	genus	L1 norm error	1	0.004113273415000003
Centrifuge	species	L1 norm error	1	0.007179925754000012
Centrifuge	strain	L1 norm error	1	0.0010556425569999992
Centrifuge	na	Weighted UniFrac error	1	0.0005101999125040476
Centrifuge	na	Unweighted UniFrac error	1	3.007497507487743
Centrifuge	na	Weighted UniFrac (CAMI)	1	3.2335822817000026
Centrifuge	na	Unweighted UniFrac (CAMI)	1	9178.999999996398
Centrifuge	superkingdom	Sum of abundances	1	0.00667702838
Centrifuge	phylum	Sum of abundances	1	0.00667702838
Centrifuge	class	Sum of abundances	1	0.00667702838
Centrifuge	order	Sum of abundances	1	0.00667702838
Centrifuge	family	Sum of abundances	1	0.006607086814000001
Centrifuge	genus	Sum of abundances	1	0.006615306459000001
Centrifuge	species	Sum of abundances	1	0.006179367311000034
Centrifuge	strain	Sum of abundances	1	0.0005151465819999985
Centrifuge	superkingdom	Taxon counts	1	1.0
Centrifuge	phylum	Taxon counts	1	1.0
Centrifuge	class	Taxon counts	1	1.0
Centrifuge	order	Taxon counts	1	5.0
Centrifuge	family	Taxon counts	1	28.0
Centrifuge	genus	Taxon counts	1	227.0
Centrifuge	species	Taxon counts	1	1293.0
Centrifuge	strain	Taxon counts	1	404.0
Centrifuge	superkingdom	Bray-Curtis distance	2	0.4690065405057833
Centrifuge	phylum	Bray-Curtis distance	2	0.4690065405057833
Centrifuge	class	Bray-Curtis distance	2	0.4690065405057833
Centrifuge	order	Bray-Curtis distance	2	0.4690603719566589
Centrifuge	family	Bray-Curtis distance	2	0.47145891333289575
Centrifuge	genus	Bray-Curtis distance	2	0.4900267228353162
Centrifuge	species	Bray-Curtis distance	2	0.6419933570155932
Centrifuge	strain	Bray-Curtis distance	2	0.8167791430374821
Centrifuge	superkingdom	Shannon diversity	2	0.020324279182803565
Centrifuge	superkingdom	Shannon equitability	2	0.0
Centrifuge	phylum	Shannon diversity	2	0.020324279182803565
Centrifuge	phylum	Shannon equitability	2	0.0
Centrifuge	class	Shannon diversity	2	0.020324279182803565
Centrifuge	class	Shannon equitability	2	0.0
Centrifuge	order	Shannon diversity	2	0.020772932497502183
Centrifuge	order	Shannon equitability	2	0.012906948653946752
Centrifuge	family	Shannon diversity	2	0.025842479847873995
Centrifuge	family	Shannon equitability	2	0.007598053552318345
Centrifuge	genus	Shannon diversity	2	0.03122948916907637
Centrifuge	genus	Shannon equitability	2	0.005729089867023072
Centrifuge	species	Shannon diversity	2	0.03772296417085911
Centrifuge	species	Shannon equitability	2	0.005299645728144651
Centrifuge	strain	Shannon diversity	2	0.003797223960034648
Centrifuge	strain	Shannon equitability	2	0.0006517720374265487
Centrifuge	superkingdom	F1 score	2	1.0
Centrifuge	superkingdom	False negatives	2	0.0
Centrifuge	superkingdom	False positives	2	0.0
Centrifuge	superkingdom	Jaccard index	2	1.0
Centrifuge	superkingdom	Purity	2	1.0
Centrifuge	superkingdom	Completeness	2	1.0
Centrifuge	superkingdom	True positives	2	1.0
Centrifuge	phylum	F1 score	2	1.0
Centrifuge	phylum	False negatives	2	0.0
Centrifuge	phylum	False positives	2	0.0
Centrifuge	phylum	Jaccard index	2	1.0
Centrifuge	phylum	Purity	2	1.0
Centrifuge	phylum	Completeness	2	1.0
Centrifuge	phylum	True positives	2	1.0
Centrifuge	class	F1 score	2	1.0
Centrifuge	class	False negatives	2	0.0
Centrifuge	class	False positives	2	0.0
Centrifuge	class	Jaccard index	2	1.0
Centrifuge	class	Purity	2	1.0
Centrifuge	class	Completeness	2	1.0
Centrifuge	class	True positives	2	1.0
Centrifuge	order	F1 score	2	0.888888888888889
Centrifuge	order	False negatives	2	0.0
Centrifuge	order	False positives	2	1.0
Centrifuge	order	Jaccard index	2	0.8
Centrifuge	order	Purity	2	0.8
Centrifuge	order	Completeness	2	1.0
Centrifuge	order	True positives	2	4.0
Centrifuge	family	F1 score	2	0.7755102040816326
Centrifuge	family	False negatives	2	0.0
Centrifuge	family	False positives	2	11.0
Centrifuge	family	Jaccard index	2	0.6333333333333333
Centrifuge	family	Purity	2	0.6333333333333333
Centrifuge	family	Completeness	2	1.0
Centrifuge	family	True positives	2	19.0
Centrifuge	genus	F1 score	2	0.653179190751445
Centrifuge	genus	False negatives	2	0.0
Centrifuge	genus	False positives	2	120.0
Centrifuge	genus	Jaccard index	2	0.48497854077253216
Centrifuge	genus	Purity	2	0.48497854077253216
Centrifuge	genus	Completeness	2	1.0
Centrifuge	genus	True positives	2	113.0
Centrifuge	species	F1 score	2	0.4239338001273074
Centrifuge	species	False negatives	2	4.0
Centrifuge	species	False positives	2	901.0
Centrifuge	species	Jaccard index	2	0.2689822294022617
Centrifuge	species	Purity	2	0.2698541329011345
Centrifuge	species	Completeness	2	0.9881305637982196
Centrifuge	species	True positives	2	333.0
Centrifuge	strain	F1 score	2	0.31506849315068497
Centrifuge	strain	False negatives	2	30.0
Centrifuge	strain	False positives	2	270.0
Centrifuge	strain	Jaccard index	2	0.18699186991869918
Centrifuge	strain	Purity	2	0.20353982300884957
Centrifuge	strain	Completeness	2	0.696969696969697
Centrifuge	strain	True positives	2	69.0
Centrifuge	superkingdom	L1 norm error	2	0.006385356737
Centrifuge	phylum	L1 norm error	2	0.006385356737
Centrifuge	class	L1 norm error	2	0.006385356737
Centrifuge	order	L1 norm error	2	0.006386089633000001
Centrifuge	family	L1 norm error	2	0.006362886774
Centrifuge	genus	L1 norm error	2	0.006644603616999994
Centrifuge	species	L1 norm error	2	0.00853889506599997
Centrifuge	strain	L1 norm error	2	0.0011010371810000028
Centrifuge	na	Weighted UniFrac error	2	0.0009370339834917621
Centrifuge	na	Unweighted UniFrac error	2	2.717973646641676
Centrifuge	na	Weighted UniFrac (CAMI)	2	5.462617535299971
Centrifuge	na	Unweighted UniFrac (CAMI)	2	8268.0000000091
Centrifuge	superkingdom	Sum of abundances	2	0.003614643263
Centrifuge	phylum	Sum of abundances	2	0.003614643263
Centrifuge	class	Sum of abundances	2	0.003614643263
Centrifuge	order	Sum of abundances	2	0.0036146432629999997
Centrifuge	family	Sum of abundances	2	0.0035714023950000006
Centrifuge	genus	Sum of abundances	2	0.003559676042999993
Centrifuge	species	Sum of abundances	2	0.0033005972309999693
Centrifuge	strain	Sum of abundances	2	0.00028326430599999886
Centrifuge	superkingdom	Taxon counts	2	1.0
Centrifuge	phylum	Taxon counts	2	1.0
Centrifuge	class	Taxon counts	2	1.0
Centrifuge	order	Taxon counts	2	5.0
Centrifuge	family	Taxon counts	2	30.0
Centrifuge	genus	Taxon counts	2	233.0
Centrifuge	species	Taxon counts	2	1234.0
Centrifuge	strain	Taxon counts	2	339.0
Centrifuge	superkingdom	Bray-Curtis distance	3	0.08090648149756888
Centrifuge	phylum	Bray-Curtis distance	3	0.08090648149756888
Centrifuge	class	Bray-Curtis distance	3	0.08090648149756888
Centrifuge	order	Bray-Curtis distance	3	0.08277417364578157
Centrifuge	family	Bray-Curtis distance	3	0.19430783536531557
Centrifuge	genus	Bray-Curtis distance	3	0.21321357734622154
Centrifuge	species	Bray-Curtis distance	3	0.3354755916693037
Centrifuge	strain	Bray-Curtis distance	3	0.5635306601536503
Centrifuge	superkingdom	Shannon diversity	3	0.04053661600959688
Centrifuge	superkingdom	Shannon equitability	3	0.0
Centrifuge	phylum	Shannon diversity	3	0.04053661600959688
Centrifuge	phylum	Shannon equitability	3	0.0
Centrifuge	class	Shannon diversity	3	0.04053661600959688
Centrifuge	class	Shannon equitability	3	0.0
Centrifuge	order	Shannon diversity	3	0.041573753714579845
Centrifuge	order	Shannon equitability	3	0.025831225543645888
Centrifuge	family	Shannon diversity	3	0.05377808263118177
Centrifuge	family	Shannon equitability	3	0.01670710072619336
Centrifuge	genus	Shannon diversity	3	0.06643985934807153
Centrifuge	genus	Shannon equitability	3	0.012458909221310844
Centrifuge	species	Shannon diversity	3	0.08246718928733403
Centrifuge	species	Shannon equitability	3	0.011608321594819152
Centrifuge	strain	Shannon diversity	3	0.008408996160349857
Centrifuge	strain	Shannon equitability	3	0.001413124059467003
Centrifuge	superkingdom	F1 score	3	1.0
Centrifuge	superkingdom	False negatives	3	0.0
Centrifuge	superkingdom	False positives	3	0.0
Centrifuge	superkingdom	Jaccard index	3	1.0
Centrifuge	superkingdom	Purity	3	1.0
Centrifuge	superkingdom	Completeness	3	1.0
Centrifuge	superkingdom	True positives	3	1.0
Centrifuge	phylum	F1 score	3	1.0
Centrifuge	phylum	False negatives	3	0.0
Centrifuge	phylum	False positives	3	0.0
Centrifuge	phylum	Jaccard index	3	1.0
Centrifuge	phylum	Purity	3	1.0
Centrifuge	phylum	Completeness	3	1.0
Centrifuge	phylum	True positives	3	1.0
Centrifuge	class	F1 score	3	1.0
Centrifuge	class	False negatives	3	0.0
Centrifuge	class	False positives	3	0.0
Centrifuge	class	Jaccard index	3	1.0
Centrifuge	class	Purity	3	1.0
Centrifuge	class	Completeness	3	1.0
Centrifuge	class	True positives	3	1.0
Centrifuge	order	F1 score	3	0.888888888888889
Centrifuge	order	False negatives	3	0.0
Centrifuge	order	False positives	3	1.0
Centrifuge	order	Jaccard index	3	0.8
Centrifuge	order	Purity	3	0.8
Centrifuge	order	Completeness	3	1.0
Centrifuge	order	True positives	3	4.0
Centrifuge	family	F1 score	3	0.8636363636363636
Centrifuge	family	False negatives	3	0.0
Centrifuge	family	False positives	3	6.0
Centrifuge	family	Jaccard index	3	0.76
Centrifuge	family	Purity	3	0.76
Centrifuge	family	Completeness	3	1.0
Centrifuge	family	True positives	3	19.0
Centrifuge	genus	F1 score	3	0.7062499999999999
Centrifuge	genus	False negatives	3	0.0
Centrifuge	genus	False positives	3	94.0
Centrifuge	genus	Jaccard index	3	0.5458937198067633
Centrifuge	genus	Purity	3	0.5458937198067633
Centrifuge	genus	Completeness	3	1.0
Centrifuge	genus	True positives	3	113.0
Centrifuge	species	F1 score	3	0.4324324324324324
Centrifuge	species	False negatives	3	1.0
Centrifuge	species	False positives	3	881.0
Centrifuge	species	Jaccard index	3	0.27586206896551724
Centrifuge	species	Purity	3	0.27608874281018897
Centrifuge	species	Completeness	3	0.9970326409495549
Centrifuge	species	True positives	3	336.0
Centrifuge	strain	F1 score	3	0.3146997929606625
Centrifuge	strain	False negatives	3	23.0
Centrifuge	strain	False positives	3	308.0
Centrifuge	strain	Jaccard index	3	0.18673218673218672
Centrifuge	strain	Purity	3	0.19791666666666666
Centrifuge	strain	Completeness	3	0.7676767676767676
Centrifuge	strain	True positives	3	76.0
Centrifuge	superkingdom	L1 norm error	3	0.0014970116820000002
Centrifuge	phylum	L1 norm error	3	0.0014970116820000002
Centrifuge	class	L1 norm error	3	0.0014970116820000002
Centrifuge	order	L1 norm error	3	0.0015315695680000003
Centrifuge	family	L1 norm error	3	0.003563685258
Centrifuge	genus	L1 norm error	3	0.003929101660000004
Centrifuge	species	L1 norm error	3	0.006046170625000024
Centrifuge	strain	L1 norm error	3	0.0009860450629999998
Centrifuge	na	Weighted UniFrac error	3	0.00027916028451423745
Centrifuge	na	Unweighted UniFrac error	3	2.7829193500671723
Centrifuge	na	Weighted UniFrac (CAMI)	3	2.20711753620002
Centrifuge	na	Unweighted UniFrac (CAMI)	3	8494.999999995898
Centrifuge	superkingdom	Sum of abundances	3	0.008502988317999999
Centrifuge	phylum	Sum of abundances	3	0.008502988317999999
Centrifuge	class	Sum of abundances	3	0.008502988317999999
Centrifuge	order	Sum of abundances	3	0.008502988318
Centrifuge	family	Sum of abundances	3	0.008415647919
Centrifuge	genus	Sum of abundances	3	0.008428008702000007
Centrifuge	species	Sum of abundances	3	0.008022684140000076
Centrifuge	strain	Sum of abundances	3	0.0006850041080000013
Centrifuge	superkingdom	Taxon counts	3	1.0
Centrifuge	phylum	Taxon counts	3	1.0
Centrifuge	class	Taxon counts	3	1.0
Centrifuge	order	Taxon counts	3	5.0
Centrifuge	family	Taxon counts	3	25.0
